time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.116602566964767e-06,5.225651264134698e-07,0.005778209596146307,0.0003993944071316591,0.0007226153862536222,0.0,-8.718957012278146e-05,4.346066723568097e-05,0.19259343924055092,0.017436602368450137,0.029082617560903856,0.0,463.54903774884406,465.8283313061232,465.3331915723044,466.6958237488163
0.12000000000000001,-2.9311004541618795e-05,1.6175126324165145e-05,0.02168780137132672,0.0014320356902484122,0.0023881351666794615,0.0,-0.001038087560195415,0.0005912518251958797,0.33769353525011125,0.016755015554039538,0.024970245915423486,0.0,451.2171536117364,450.885280872924,451.05403241678465,450.99891239518803
0.18,-0.0001467956949652415,8.459795106884803e-05,0.044701044147901804,0.002155242787896583,0.0045053428929326955,0.0,-0.003065638012388003,0.0017787959315058474,0.42938324514576837,0.0004293836854039742,0.05048944831742898,0.0,434.0569564018911,436.19348980433637,434.3424435699437,432.971231678668
0.23999999999999996,-0.00045592313332933174,0.00024390321181591663,0.07719334383423637,0.0019119655876398411,0.00847546776171626,0.0,-0.007672578988599244,0.0035204536332269437,0.6535893573614149,-0.015009520627210452,0.08663109060977006,0.0,473.78105378093755,476.55391814789436,475.23693901255126,474.052330369453
0.3,-0.001082806796986716,0.00048594774389644566,0.11639832579929447,0.0010392202566293918,0.013328203590446286,0.0,-0.01366466022361184,0.004470431803726897,0.6532391767866355,-0.013634031442584047,0.06574969123248463,0.0,405.0483055447617,403.1721369026512,404.3653800406197,404.4893373840935
0.36000000000000004,-0.0022002400385570946,0.0007730635739553021,0.1591037307732744,0.000328037343171772,0.01714807997165302,0.0,-0.023988273436335725,0.005020339101005143,0.7701963259815034,-0.00850993481811116,0.05913153050076344,0.0,443.025513636606,442.484057522072,442.49306890289307,442.91475189051187
0.4200000000000001,-0.004062622955071596,0.0010800157697683271,0.21140617122708538,6.283173058930902,0.020871645243691894,0.0,-0.03851538478597141,0.0051621083998210845,0.973059501734121,-0.0005254434063891042,0.06734986367833248,0.0,468.20978258327153,468.85118580766874,469.2987347243166,469.91809076048594
0.48000000000000015,-0.006801823659087865,0.00138934377978122,0.2719245978120624,6.283081338440764,0.025186834857962914,0.0,-0.05319956618037777,0.005142882733088809,1.0441493032118125,-0.0036148307190755537,0.07976976788892914,0.0,427.42703408383903,428.48822186251516,429.48130193585257,429.2192576634604
0.5400000000000001,-0.01055781214793913,0.0016949636149992786,0.3385281591088536,6.282397965628267,0.030282557993245085,0.0,-0.07252570833262374,0.005005377740836516,1.175828046004839,-0.0353095743140925,0.09363782907368326,0.0,447.95757375303526,449.0895140159085,448.81404203089176,446.2345443919941
0.6000000000000002,-0.01561892873197761,0.001968712206515056,0.41406585123827594,6.280415950491141,0.03583301623745694,0.0,-0.09679698448814475,0.0038910314184554106,1.3418931806670729,-0.02883212171532333,0.09014742950351988,0.0,459.13612727204276,458.86607282173827,458.50436642899314,459.0182395621177
0.6600000000000003,-0.022183625653880528,0.002138643149475425,0.4974584288989814,6.278548325762692,0.041181484659921,0.0,-0.12256758786632219,0.0015918602170873813,1.4377208003453283,-0.0361640542304254,0.0870500680658606,0.0,436.99394950424573,436.742485725353,438.5014510458175,437.8916534950737
0.7200000000000003,-0.03043828501509294,0.0021270300190921387,0.5874143275296988,6.276764924584674,0.04638723479637541,0.0,-0.15313087313143525,-0.002183812315730207,1.560622245526568,-0.019232855283716925,0.08618147830182035,0.0,446.4745344898408,446.40985654966,445.59225273146006,446.9737677429259
0.7800000000000004,-0.0404225502117955,0.001884491322274783,0.6801926725514622,6.275485206036244,0.05176177574159002,0.0,-0.1801184684623938,-0.006001554125194442,1.5320040310708716,-0.025888943346725875,0.09561761120525472,0.0,396.3039499170347,397.1779833612369,397.08068871165966,396.4695898510029
0.8400000000000004,-0.0523360641482894,0.0013572589837731314,0.7753686463819793,6.273657701604044,0.05765998199149536,0.0,-0.21759254259569016,-0.011743711725920591,1.6403412683183685,-0.04167098856494799,0.10319292369891914,0.0,442.332849609712,442.96450247216745,442.393005541552,441.0913394243975
0.9000000000000005,-0.06685429352459599,0.0004047958910422547,0.8809567691071027,6.271317024100195,0.06414337415524596,0.0,-0.2671060240940397,-0.020296787150021388,1.8788456530570654,-0.034162914898191996,0.11633658117827163,0.0,481.0809420413364,482.0842477008023,481.84182481069865,482.40840765271776
0.9600000000000005,-0.08440002259999037,-0.0010969087461012595,0.9992014210451299,6.269136386784634,0.07097691726151378,0.0,-0.318522362596268,-0.02999679373751676,2.0622657239886264,-0.041106786131989564,0.10849658152098218,0.0,466.139144528449,465.53699830304396,467.50448634959395,466.96262072029504
1.0200000000000005,-0.10492994074976504,-0.0031809596581729104,1.1248794562060869,6.26623171930942,0.07721450725065448,0.0,-0.3664197990336027,-0.039722152276559786,2.126825577191234,-0.06994153644486682,0.09285658433977868,0.0,431.18297844863775,429.8694172645952,431.41303437526875,428.9697444926121
1.0800000000000005,-0.12839960730079147,-0.005899621767269658,1.2537375329286191,6.261763914891407,0.08291155334848188,0.0,-0.41642457158943313,-0.051300018216128764,2.168305872345876,-0.08552475415770158,0.09883797760387197,0.0,423.3873824619252,423.9097948311708,423.42596396790134,422.078505781631
1.1400000000000006,-0.15542769000829065,-0.009518881166438677,1.390401372545928,6.257136658156018,0.08875173018978977,0.0,-0.4851809567448441,-0.06990901118568484,2.3866348098121146,-0.06413469410572054,0.0941523319367007,0.0,478.21031397863635,477.86065223242264,477.8328693133031,479.45620063842347
